日付,実測値,予測値,予測値下限,予測値上限,効果,効果下限,効果上限,累積実測値,累積予測値,累積予測値下限,累積予測値上限,累積効果,累積効果下限,累積効果上限
date,y,preds,preds_lower,preds_upper,point_effects,point_effects_lower,point_effects_upper,post_cum_y,post_cum_pred,post_cum_pred_lower,post_cum_pred_upper,post_cum_effects,post_cum_effects_lower,post_cum_effects_upper
2022/07/01,224.0,257.3462355562626,30.290671095762292,484.401800016763,-33.34623555626263,-260.401800016763,193.7093289042377,,,,,,,
2022/08/01,106.0,160.09037126082376,-66.94326313314119,387.1240056547887,-54.09037126082376,-281.1240056547887,172.9432631331412,,,,,,,
2022/09/01,235.0,169.49306639600206,-57.519462280015915,396.50559507201996,65.50693360399794,-161.50559507201996,292.5194622800159,,,,,,,
2022/10/01,300.0,217.29240998632184,-9.699798702913455,444.2846186755571,82.70759001367816,-144.2846186755571,309.6997987029134,,,,,,,
2022/11/01,160.0,251.49770680823133,24.525068701342917,478.47034491511977,-91.49770680823133,-318.47034491511977,135.47493129865708,,,,,,,
2022/12/01,50.0,233.8269919434289,6.873209217880174,460.78077466897764,-183.8269919434289,-410.78077466897764,43.126790782119826,,,,,,,
2023/01/01,22.0,140.80723779745807,-86.12837251473636,367.7428481096525,-118.80723779745807,-345.7428481096525,108.12837251473636,,,,,,,
2023/02/01,397.0,275.5933319884663,48.675241524093195,502.5114224528394,121.40666801153372,-105.51142245283938,348.32475847590683,,,,,,,
2023/03/01,648.0,351.4500578796843,124.54886339754651,578.351252361822,296.5499421203157,69.64874763817795,523.4511366024535,,,,,,,
2023/04/01,342.0,285.12809798542463,58.243202734809614,512.0129932360396,56.87190201457537,-170.01299323603962,283.75679726519036,,,,,,,
2023/05/01,306.0,246.51081601190776,19.641648879718474,473.3799831440971,59.489183988092236,-167.37998314409708,286.35835112028155,,,,,,,
2023/06/01,217.0,224.6139151467022,-2.2400707206938364,451.4679010140983,-7.6139151467021975,-234.4679010140983,219.24007072069384,,,,,,,
2023/07/01,265.0,192.5072062810113,-34.33212220270235,419.346534764725,72.49279371898871,-154.346534764725,299.33212220270235,,,,,,,
2023/08/01,112.0,170.12408175493937,-56.70109145658935,396.94925496646806,-58.12408175493937,-284.94925496646806,168.70109145658935,,,,,,,
2023/09/01,103.0,165.6533651376222,-61.15813426900192,392.4648645442463,-62.65336513762219,-289.4648645442463,164.15813426900192,,,,,,,
2023/10/01,148.0,154.16155594092393,-72.636731537683,380.95984341953084,-6.161555940923932,-232.95984341953084,220.636731537683,,,,,,,
2023/11/01,52.0,242.33474328397585,15.549224459225485,469.12026210872625,-190.33474328397585,-417.12026210872625,36.450775540774515,,,,,,,
2023/12/01,170.0,212.72748286259073,-14.045692906187554,439.500658631369,-42.72748286259073,-269.500658631369,184.04569290618755,,,,,,,
2024/01/01,149.0,129.99375422061144,-96.76748728355395,356.75499572477685,19.006245779388564,-207.75499572477685,245.76748728355395,,,,,,,
2024/02/01,74.0,172.70954055572898,-54.040159485840405,399.45924059729833,-98.70954055572898,-325.45924059729833,128.0401594858404,,,,,,,
2024/03/01,79.0,158.57223808239968,-68.16629807764733,385.31077424244666,-79.57223808239968,-306.31077424244666,147.16629807764733,,,,,,,
2024/04/01,132.0,140.58722004488013,-86.14051531685968,367.3149554066199,-8.587220044880127,-235.3149554066199,218.14051531685968,,,,,,,
2024/05/01,196.0,196.75025571381414,-29.96702811593019,423.4675395435585,-0.7502557138141412,-227.46753954355847,225.9670281159302,,,,,,,
2024/06/01,89.0,147.3862612054922,-79.32090718341627,374.0934295944006,-58.38626120549219,-285.0934295944006,168.32090718341627,,,,,,,
